* Freq(Hz), SPL(dB)
8863.094385, 0.000
8927.320020, 0.000
8992.011061, 0.000
9057.170880, 0.000
9122.802874, 0.000
9188.910464, 0.000
9255.497097, 0.000
9322.566244, 0.000
9390.121402, 0.000
9458.166093, 0.000
9526.703863, 0.000
9595.738287, 0.000
9665.272962, 0.000
9735.311514, 0.000
9805.857594, 0.000
9876.914881, 0.000
9948.487077, 0.000
10020.577916, 0.000
10093.191154, 0.000
10166.330578, 0.000
10240.000000, 0.000
10314.203261, 0.000
10388.944230, 0.000
10464.226802, 0.000
10540.054903, 0.000
10616.432486, 0.000
10693.363532, 0.000
10770.852052, 0.000
10848.902086, 0.000
10927.517703, 0.000
11006.703001, 0.000
11086.462108, 0.000
11166.799182, 0.000
11247.718413, 0.000
11329.224017, 0.000
11411.320244, 0.000
11494.011375, 0.000
11577.301719, 0.000
11661.195620, 0.000
11745.697450, 0.000
11830.811616, 0.000
11916.542554, 0.000
12002.894734, 0.000
12089.872657, 0.000
12177.480858, 0.000
12265.723904, 0.000
12354.606395, 0.000
12444.132966, 0.000
12534.308283, 0.000
12625.137048, 0.000
12716.623996, 0.000
12808.773895, 0.000
12901.591551, 0.000
12995.081802, 0.000
13089.249521, 0.000
13184.099619, 0.000
13279.637040, 0.000
13375.866764, 0.000
13472.793808, 0.000
13570.423226, 0.000
13668.760107, 0.000
13767.809577, 0.000
13867.576801, 0.000
13968.066979, 0.000
14069.285350, 0.000
14171.237191, 0.000
14273.927818, 0.000
14377.362583, 0.000
14481.546879, 0.000
14586.486137, 0.000
14692.185828, 0.000
14798.651463, 0.000
14905.888592, 0.000
15013.902806, 0.000
15122.699734, 0.000
15232.285051, 0.000
15342.664467, 0.000
15453.843739, 0.000
15565.828661, 0.000
15678.625072, 0.000
15792.238852, 0.000
15906.675925, 0.000
16021.942256, 0.000
16138.043854, 0.000
16254.986772, 0.000
16372.777107, 0.000
16491.420999, 0.000
16610.924634, 0.000
16731.294241, 0.000
16852.536096, 0.000
16974.656520, 0.000
17097.661878, 0.000
17221.558584, 0.000
17346.353097, 0.000
17472.051922, 0.000
17598.661613, 0.000
17726.188769, 0.000
17854.640040, 0.000
17984.022122, 0.000
18114.341760, 0.000
18245.605748, 0.000
18377.820928, 0.000
18510.994194, 0.000
18645.132489, 0.000
18780.242805, 0.000
18916.332186, 0.000
19053.407727, 0.000
19191.476573, 0.000
19330.545924, 0.000
19470.623028, 0.000
19611.715189, 0.000
19753.829761, 0.000
19896.974155, 0.000
20041.155832, 0.000
20186.382308, 0.000
20332.661156, 0.000
20480.000000, 0.000
20628.406522, 0.000
20777.888460, 0.000
20928.453604, 0.000
21080.109806, 0.000
21232.864972, 0.000
21386.727064, 0.000
21541.704105, 0.000
21697.804172, 0.000
21855.035406, 0.000
22013.406002, 0.000
22172.924216, 0.000
22333.598365, 0.000
22495.436825, 0.000
22658.448034, 0.000
22822.640488, 0.000
22988.022749, 0.000
23154.603438, 0.000
23322.391240, 0.000
23491.394901, 0.000
23661.623232, 0.000
23833.085108, 0.000
24005.789467, 0.000
24179.745313, 0.000
24354.961715, 0.000
24531.447808, 0.000
24709.212791, 0.000
24888.265932, 0.000
25068.616567, 0.000
25250.274096, 0.000
25433.247991, 0.000
25617.547790, 0.000
25803.183102, 0.000
25990.163603, 0.000
26178.499043, 0.000
26368.199238, 0.000
26559.274079, 0.000
26751.733528, 0.000
26945.587616, 0.000
27140.846452, 0.000
27337.520213, 0.000
27535.619154, 0.000
27735.153601, 0.000
27936.133957, 0.000
28138.570700, 0.000
28342.474383, 0.000
28547.855635, 0.000
28754.725165, 0.000
28963.093757, 0.000
29172.972274, 0.000
29384.371657, 0.000
29597.302927, 0.000
29811.777185, 0.000
30027.805611, 0.000
